a_412	0.316121	0.563632	0.443595	0.565529	0.330859
d_446	0.335375	0.582426	0.430086	0.557785	0.331618
e_520	0.331515	0.56017	0.469638	0.542673	0.309926
f_449	0.345593	0.536549	0.468397	0.541319	0.33238
g_495	0.322044	0.595036	0.507891	0.567189	0.311149
l_348	0.365223	0.563256	0.520413	0.547763	0.387924
b_336	0.317718	0.566808	0.539297	0.546913	0.351717
c_341	0.330777	0.5219	0.48095	0.52788	0.362616
h_388	0.280746	0.504037	0.469497	0.534301	0.308842
i_393	0.335506	0.580867	0.468747	0.559434	0.341405
j_408	0.32259	0.56117	0.500829	0.537719	0.325232
k_217	0.316582	0.523645	0.449527	0.52205	0.347447
m_218	0.328265	0.555149	0.501217	0.521032	0.328837
n_354	0.335901	0.570846	0.546546	0.540785	0.325222
