a_412	0.380475	0.643161	0.737058	0.639142	0.403606
d_446	0.3543	0.668803	0.695376	0.644846	0.378607
e_520	0.36797	0.680156	0.74644	0.656258	0.393995
f_449	0.407014	0.649978	0.688618	0.624369	0.459641
g_495	0.351087	0.677647	0.736414	0.656877	0.418769
l_348	0.425205	0.611619	0.772897	0.593168	0.437294
b_336	0.396678	0.639865	0.77565	0.60387	0.45128
c_341	0.401144	0.585132	0.747192	0.577661	0.42922
h_388	0.377862	0.623682	0.652453	0.622238	0.387846
i_393	0.415665	0.618003	0.695579	0.610972	0.424643
j_408	0.392263	0.604456	0.759372	0.613929	0.362322
k_217	0.345074	0.587852	0.596705	0.592108	0.407518
m_218	0.387335	0.616134	0.709077	0.607983	0.403097
n_354	0.394073	0.625072	0.741329	0.605109	0.423816
