a_412	0.26131	0.2681055	0.3185825	0.407022	0.4168
d_446	0.229353	0.3270655	0.424158	0.4050315	0.398236
e_520	0.2928995	0.345194	0.379605	0.3764125	0.3990815
f_449	0.235588	0.3307345	0.4119465	0.415353	0.450245
g_495	0.230873	0.3699815	0.396539	0.344694	0.3370095
l_348	0.221032	0.3240615	0.382241	0.3944435	0.4742435
b_336	0.2552585	0.3240995	0.4501905	0.423042	0.461394
c_341	0.286707	0.363227	0.402969	0.389392	0.360258
h_388	0.1888805	0.2783435	0.415565	0.453084	0.4106645
i_393	0.232251	0.320747	0.359459	0.3596615	0.340875
j_408	0.194673	0.3079455	0.381258	0.4275465	0.408869
k_217	0.263286	0.353336	0.397401	0.346676	0.370183
m_218	0.2007245	0.3024265	0.4060465	0.401363	0.39557
n_354	0.2650955	0.301616	0.366047	0.338394	0.3542505
